Variable:,pr
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1942,1183.28,1125.11,1061.83,1443.46,870.17,1082.96,1191.77,1100.06,1098.81,1368.61,1119.50,1064.82,1153.32,1067.53,926.56,1254.99,1127.50,1049.46,1342.20,1348.54,1039.58,1127.84,1393.54,1152.23,1177.30,1222.77,1154.00,1307.33,917.25,1217.42,1472.88,1377.66,1181.67,1342.73,1138.60,1172.94,1290.88
1943,1122.03,1065.94,1012.18,1314.72,811.58,1034.86,1150.01,1048.09,1043.31,1249.03,1057.20,1031.34,1112.17,964.88,871.16,1211.26,1070.30,1008.41,1296.20,1302.99,989.29,1074.19,1362.38,1089.95,1129.64,1175.98,1112.90,1192.99,865.77,1183.38,1337.53,1344.24,1103.62,1246.12,1095.76,1141.77,1209.25
1944,1321.13,1256.22,1211.33,1536.61,982.20,1229.85,1338.23,1246.58,1210.79,1473.81,1266.90,1243.36,1303.75,1155.43,1049.89,1401.66,1249.50,1209.78,1481.60,1488.27,1190.50,1254.05,1566.91,1276.40,1321.65,1365.39,1309.10,1416.13,1046.28,1383.19,1557.76,1537.82,1318.19,1472.08,1293.16,1347.71,1419.62
1945,1064.83,1016.63,965.49,1312.09,814.16,987.68,1063.00,995.45,966.23,1254.67,1034.10,965.52,1028.36,985.92,867.91,1135.16,1006.00,955.23,1222.60,1225.19,944.77,1003.90,1161.78,1032.99,1072.09,1114.31,1033.90,1205.28,856.24,1069.33,1336.86,1170.31,1090.78,1224.48,1022.30,1021.22,1160.08
1946,1039.83,977.25,955.12,1268.53,797.74,993.43,1012.70,964.42,916.59,1216.86,1001.10,982.87,976.31,960.05,847.19,1093.53,963.00,967.43,1188.90,1189.97,928.59,957.96,1163.41,989.41,1058.53,1099.11,983.10,1171.41,838.86,1074.01,1292.51,1159.75,1057.31,1176.46,977.17,1037.50,1103.09
1947,1049.21,991.20,943.75,1305.35,776.54,965.23,1046.32,971.13,965.31,1222.73,991.70,949.38,1009.88,943.76,826.43,1103.32,990.20,937.47,1184.60,1190.86,923.87,989.90,1214.74,1017.24,1043.68,1083.32,1009.20,1160.06,819.52,1076.75,1337.96,1212.22,1047.47,1203.40,998.07,1036.57,1158.24
1948,879.99,775.38,811.53,969.84,642.82,876.91,899.99,797.02,750.86,922.42,784.10,896.19,854.39,765.68,674.52,978.11,770.00,869.16,1085.90,1090.07,772.64,783.81,1161.31,783.40,939.95,989.73,853.30,886.53,672.10,1010.10,990.25,1130.96,817.74,890.48,842.68,984.89,851.87
1949,1213.17,1164.14,1116.07,1463.66,934.99,1111.01,1211.13,1152.64,1122.89,1401.03,1179.70,1086.29,1180.79,1108.41,993.97,1270.71,1154.60,1075.78,1343.60,1348.32,1105.53,1154.66,1352.04,1182.84,1201.35,1236.07,1186.30,1346.48,984.63,1227.33,1488.11,1362.92,1235.58,1381.54,1176.96,1182.47,1325.71
1950,1208.88,1184.82,1093.00,1512.32,912.63,1082.61,1210.15,1147.59,1137.04,1438.74,1196.00,1034.57,1175.50,1101.80,981.01,1274.95,1177.70,1033.63,1357.30,1362.28,1084.40,1170.41,1318.42,1205.02,1190.41,1230.42,1179.60,1375.18,969.74,1179.93,1541.48,1326.42,1256.51,1411.65,1167.73,1120.06,1348.31
1951,1282.43,1253.54,1163.84,1574.61,959.90,1157.82,1321.67,1224.96,1217.00,1505.63,1258.20,1079.89,1291.39,1159.77,1030.51,1372.63,1250.10,1096.90,1440.10,1446.89,1153.60,1252.90,1415.73,1274.83,1267.44,1308.33,1294.50,1444.64,1021.66,1247.35,1604.20,1417.53,1321.17,1476.93,1274.69,1183.23,1417.43
