Variable:,tas
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1988,0.63,1.27,0.77,0.05,-0.05,0.53,1.06,-0.22,3.95,2.57,1.01,1.01,0.59,-0.07,0.62,1.94,-0.19,2.23,0.49,1.00,-0.47,1.33,0.37,1.03,2.38
1989,0.80,1.05,0.87,0.18,0.31,0.39,1.12,0.06,3.69,2.37,0.93,0.93,0.71,0.57,1.08,1.70,0.02,2.20,0.65,1.73,-0.16,1.37,0.45,1.09,2.20
1990,1.17,1.53,1.44,0.66,0.44,0.91,1.67,0.50,4.17,2.86,1.46,1.46,1.28,0.64,1.40,2.12,0.49,2.72,1.20,1.74,0.20,1.93,0.96,1.66,2.59
1991,1.98,2.33,2.12,1.48,1.26,1.68,2.38,1.37,4.85,3.60,2.19,2.19,1.95,1.53,2.31,2.89,1.33,3.38,1.92,2.59,1.10,2.58,1.75,2.30,3.33
1992,1.19,1.47,1.33,0.67,0.48,0.86,1.59,0.58,4.05,2.78,1.37,1.37,1.16,0.85,1.56,2.01,0.52,2.62,1.12,1.95,0.31,1.79,0.96,1.51,2.45
1993,1.08,1.57,1.28,0.55,0.32,0.91,1.55,0.42,4.17,2.88,1.40,1.40,1.13,0.49,1.25,2.11,0.40,2.67,1.03,1.60,0.12,1.85,0.86,1.56,2.52
1994,0.97,1.31,1.03,0.37,0.38,0.60,1.27,0.25,3.89,2.53,1.10,1.10,0.92,0.63,1.25,1.95,0.24,2.32,0.84,1.78,0.01,1.56,0.64,1.30,2.42
1995,0.50,0.89,0.65,-0.08,-0.12,0.21,0.89,-0.24,3.55,2.18,0.72,0.72,0.54,0.03,0.68,1.52,-0.23,1.99,0.43,1.19,-0.53,1.20,0.22,0.94,1.99
1996,1.68,2.12,2.02,1.23,0.88,1.49,2.25,1.00,4.74,3.43,2.02,2.02,1.90,1.01,1.83,2.72,1.03,3.30,1.80,2.08,0.63,2.56,1.57,2.30,3.17
1997,1.65,2.23,1.80,1.15,0.88,1.52,2.10,0.83,4.87,3.55,2.00,2.00,1.68,1.03,1.76,2.80,0.90,3.20,1.58,2.11,0.59,2.33,1.43,2.06,3.22
1998,1.01,1.76,1.29,0.48,0.30,1.03,1.56,0.00,4.48,3.07,1.51,1.51,1.16,0.17,0.80,2.40,0.16,2.78,1.04,1.30,-0.25,1.85,0.85,1.56,2.86
1999,1.20,1.59,1.45,0.70,0.42,0.94,1.65,0.55,4.20,2.91,1.44,1.44,1.32,0.73,1.49,2.14,0.54,2.70,1.22,1.79,0.21,1.97,1.00,1.70,2.56
2000,1.53,1.82,1.86,1.11,0.64,1.20,2.02,1.01,4.39,3.10,1.72,1.72,1.73,1.03,1.91,2.37,0.95,2.98,1.63,2.03,0.67,2.35,1.39,2.10,2.77
2001,1.77,2.34,2.06,1.31,0.98,1.65,2.27,0.98,4.95,3.66,2.12,2.12,1.93,1.08,1.77,2.93,1.04,3.38,1.82,2.19,0.65,2.58,1.63,2.31,3.36
2002,2.04,2.58,2.17,1.45,1.38,1.84,2.43,1.23,5.18,3.85,2.30,2.30,2.02,1.46,2.11,3.25,1.22,3.52,1.92,2.56,1.00,2.69,1.76,2.43,3.69
2003,2.71,3.18,3.13,2.31,1.77,2.60,3.34,2.09,5.85,4.54,3.11,3.11,2.99,2.06,2.87,3.67,2.10,4.38,2.86,3.12,1.69,3.66,2.65,3.39,4.02
2004,2.36,2.78,2.63,1.91,1.51,2.13,2.84,1.76,5.40,4.09,2.62,2.62,2.49,1.79,2.55,3.36,1.75,3.86,2.38,2.86,1.39,3.13,2.18,2.87,3.74
2005,1.56,2.09,1.94,1.06,0.76,1.47,2.15,0.77,4.75,3.45,1.97,1.97,1.81,0.89,1.60,2.66,0.80,3.23,1.67,1.99,0.43,2.49,1.44,2.22,3.07
2006,2.14,2.57,2.26,1.59,1.47,1.90,2.51,1.36,5.20,3.87,2.37,2.37,2.14,1.64,2.34,3.21,1.38,3.60,2.03,2.73,1.15,2.79,1.86,2.52,3.69
2007,2.03,2.51,2.34,1.54,1.21,1.91,2.56,1.26,5.20,3.89,2.42,2.42,2.21,1.43,2.13,3.09,1.29,3.69,2.06,2.53,0.95,2.87,1.86,2.60,3.49
2008,1.78,2.25,2.23,1.35,0.88,1.70,2.43,1.03,4.98,3.69,2.23,2.23,2.11,1.11,1.87,2.77,1.07,3.51,1.96,2.20,0.66,2.78,1.71,2.51,3.19
2009,2.06,2.59,2.27,1.47,1.34,1.92,2.55,1.19,5.30,3.96,2.42,2.42,2.13,1.47,2.15,3.22,1.22,3.66,2.01,2.58,0.97,2.85,1.81,2.57,3.69
2010,2.25,2.83,2.71,1.80,1.37,2.29,2.96,1.44,5.58,4.30,2.83,2.83,2.55,1.47,2.19,3.38,1.51,4.09,2.42,2.56,1.06,3.27,2.20,3.00,3.78
2011,1.87,2.37,2.07,1.32,1.15,1.72,2.33,1.05,5.06,3.73,2.22,2.22,1.95,1.29,1.97,2.98,1.07,3.45,1.82,2.39,0.81,2.63,1.63,2.35,3.44
2012,1.98,2.49,2.42,1.54,1.15,1.92,2.64,1.21,5.21,3.90,2.46,2.46,2.27,1.24,2.02,3.06,1.28,3.74,2.15,2.33,0.82,2.97,1.93,2.69,3.49
2013,1.64,2.14,1.91,1.10,0.90,1.50,2.15,0.90,4.78,3.50,1.99,1.99,1.76,1.05,1.79,2.73,0.87,3.24,1.63,2.14,0.58,2.45,1.44,2.18,3.19
2014,2.75,3.23,2.99,2.22,2.03,2.57,3.22,2.00,5.83,4.56,3.07,3.07,2.85,2.16,2.87,3.85,2.01,4.30,2.74,3.26,1.70,3.52,2.53,3.26,4.30
2015,1.41,1.89,1.60,0.83,0.70,1.20,1.83,0.66,4.49,3.18,1.68,1.68,1.46,0.87,1.56,2.50,0.63,2.91,1.35,1.96,0.38,2.13,1.14,1.86,2.97
2016,2.65,3.15,2.94,2.15,1.87,2.50,3.16,1.92,5.78,4.51,3.01,3.01,2.80,2.04,2.80,3.74,1.92,4.26,2.68,3.12,1.58,3.48,2.45,3.21,4.16
2017,2.44,2.92,2.74,1.92,1.66,2.26,2.94,1.70,5.53,4.25,2.75,2.75,2.62,1.85,2.62,3.51,1.70,4.00,2.49,2.93,1.38,3.28,2.24,3.02,3.93
2018,2.23,2.66,2.58,1.72,1.41,1.99,2.68,1.53,5.29,3.97,2.49,2.49,2.49,1.67,2.48,3.25,1.52,3.78,2.32,2.73,1.20,3.15,1.99,2.89,3.65
2019,2.28,2.80,2.63,1.78,1.47,2.15,2.81,1.52,5.48,4.15,2.66,2.66,2.51,1.62,2.39,3.38,1.54,3.96,2.36,2.69,1.19,3.20,2.10,2.93,3.77
2020,2.00,2.49,2.34,1.49,1.20,1.84,2.52,1.24,5.14,3.83,2.33,2.33,2.22,1.37,2.14,3.08,1.26,3.61,2.07,2.45,0.93,2.90,1.82,2.64,3.49
2021,2.40,2.86,2.77,1.91,1.55,2.21,2.93,1.70,5.47,4.18,2.72,2.72,2.67,1.79,2.62,3.44,1.69,3.99,2.51,2.83,1.36,3.31,2.22,3.06,3.84
