Variable:,pr
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1986,1255.56,1181.40,1518.46,1158.07,1111.83,1355.20,1340.04,1310.75,1250.71,1253.59,1302.04,1193.96,1274.74,1163.16,1127.76,1202.61,1412.70,1071.70,1226.60,1355.20,1478.36,1135.20
1987,1293.61,1236.70,1502.42,1212.97,1172.60,1373.20,1368.23,1332.26,1283.25,1286.69,1341.94,1247.38,1316.23,1217.43,1208.23,1223.08,1416.06,1125.10,1270.68,1373.20,1480.73,1218.21
1988,1158.78,1050.60,1396.40,1028.12,985.20,1280.70,1263.86,1216.93,1192.65,1147.72,1233.50,1091.53,1203.08,1033.15,1052.62,1125.65,1295.42,944.90,1141.46,1280.70,1334.08,1062.48
1989,1089.75,1065.80,1208.82,1048.64,1028.22,1113.70,1111.75,1130.83,1033.55,1107.23,1092.97,1077.47,1087.81,1050.29,1046.98,1047.18,1170.64,985.10,1094.42,1113.70,1140.69,1053.27
1990,978.71,910.90,1215.06,894.53,848.26,1101.10,1081.51,1025.45,1008.98,971.41,1050.15,914.91,1011.49,899.81,843.49,895.61,1116.27,833.90,938.42,1101.10,1177.97,850.25
1991,1310.09,1270.90,1450.97,1248.85,1208.41,1320.70,1342.56,1377.31,1266.00,1340.38,1329.85,1287.79,1336.41,1249.37,1233.05,1270.64,1410.42,1167.20,1318.02,1320.70,1357.79,1240.90
1992,1099.56,1070.10,1269.35,1033.67,1003.54,1126.90,1141.98,1151.37,1071.42,1117.23,1123.50,1074.56,1119.99,1035.61,1026.28,1057.97,1211.92,898.80,1095.88,1126.90,1182.98,1035.03
1993,1132.93,1047.70,1432.65,1014.84,991.91,1267.70,1243.16,1181.98,1155.21,1117.45,1199.77,1064.02,1156.65,1019.56,1004.74,1056.48,1305.47,893.20,1093.53,1267.70,1373.90,1011.57
1994,1046.12,957.10,1304.77,943.51,908.81,1176.80,1136.33,1092.23,1056.71,1033.37,1091.20,982.56,1052.41,951.04,933.91,997.53,1195.55,893.20,1017.90,1176.80,1241.33,940.88
1995,1465.20,1353.90,1814.97,1336.80,1277.67,1664.50,1595.15,1522.33,1491.47,1446.74,1530.51,1378.25,1469.14,1343.31,1308.10,1387.13,1664.73,1273.50,1420.95,1664.50,1734.57,1318.12
1996,1573.11,1430.80,2030.85,1397.77,1350.44,1843.10,1753.27,1632.17,1633.66,1535.32,1671.27,1459.89,1583.94,1400.48,1381.01,1463.85,1825.19,1275.50,1506.83,1843.10,1992.59,1392.97
1997,1124.43,1073.30,1358.00,1057.84,1015.55,1230.20,1195.81,1155.56,1123.21,1114.25,1154.02,1076.81,1117.77,1058.65,1034.06,1045.85,1259.24,1000.60,1094.00,1230.20,1308.10,1041.65
1998,1303.36,1225.20,1553.03,1214.65,1160.21,1369.60,1367.38,1362.11,1266.12,1305.27,1332.45,1247.02,1315.32,1217.30,1187.92,1253.82,1455.36,1175.60,1284.04,1369.60,1493.72,1197.16
1999,1493.94,1459.70,1781.44,1421.08,1359.67,1597.40,1574.45,1536.61,1468.32,1493.32,1527.88,1443.80,1492.14,1425.52,1379.56,1404.12,1669.22,1278.10,1458.40,1597.40,1634.84,1389.66
2000,1075.75,972.50,1340.75,945.28,904.63,1219.00,1192.55,1150.40,1121.33,1078.24,1156.06,1003.76,1120.82,949.04,926.91,1028.58,1233.37,844.50,1051.58,1219.00,1289.86,935.48
2001,1284.99,1231.30,1504.76,1198.32,1183.03,1330.80,1348.21,1347.50,1268.40,1298.13,1325.05,1245.90,1315.48,1199.49,1184.28,1212.47,1425.38,1076.20,1270.80,1330.80,1389.13,1190.12
2002,1324.98,1261.20,1524.55,1239.83,1197.93,1347.80,1378.82,1376.95,1297.98,1327.08,1362.63,1279.05,1360.61,1243.48,1233.06,1291.42,1449.02,1160.70,1311.51,1347.80,1453.67,1242.06
2003,1085.37,1012.80,1313.55,1017.01,955.90,1255.80,1189.55,1118.82,1111.44,1069.85,1144.27,1021.32,1086.56,1020.82,964.62,983.26,1209.83,1032.60,1043.38,1255.80,1366.19,971.75
2004,1545.85,1477.90,1837.05,1434.16,1386.86,1679.00,1666.07,1606.08,1563.07,1543.64,1629.44,1482.66,1588.18,1434.21,1412.83,1441.88,1720.00,1272.20,1510.13,1679.00,1673.54,1422.64
2005,1527.52,1438.80,1811.13,1417.94,1343.78,1716.60,1658.14,1581.35,1564.86,1516.56,1609.16,1452.34,1551.98,1418.04,1387.42,1448.39,1689.62,1340.70,1489.87,1716.60,1683.92,1398.50
2006,1194.96,1167.20,1346.97,1152.61,1109.75,1265.60,1246.26,1224.11,1165.75,1197.01,1221.24,1164.81,1197.37,1156.81,1124.35,1130.59,1286.47,1098.60,1177.08,1265.60,1352.25,1133.19
2007,1306.66,1255.60,1576.76,1242.73,1172.53,1412.60,1388.26,1345.97,1291.79,1299.07,1345.16,1248.34,1307.01,1247.76,1183.11,1202.12,1466.19,1195.10,1265.25,1412.60,1523.80,1192.80
2008,1296.91,1207.80,1578.86,1179.01,1130.85,1461.90,1427.34,1357.77,1342.36,1290.05,1387.46,1222.42,1338.22,1184.55,1146.18,1208.71,1460.56,1072.40,1257.26,1461.90,1532.15,1154.44
2009,1550.04,1467.70,1932.57,1433.89,1326.61,1767.60,1713.73,1632.02,1591.68,1554.90,1655.03,1458.15,1585.43,1441.57,1334.74,1381.44,1778.05,1308.70,1490.69,1767.60,1911.18,1347.38
2010,1785.46,1641.80,2169.57,1600.10,1560.32,1989.00,1949.06,1866.28,1828.62,1768.19,1894.59,1687.00,1836.83,1606.85,1613.64,1703.63,2005.71,1445.70,1745.88,1989.00,2100.14,1625.32
2011,942.08,869.10,1131.29,852.17,826.31,1071.30,1043.96,971.33,988.48,921.94,1018.48,883.25,978.14,856.38,843.27,891.75,1044.00,789.50,907.68,1071.30,1120.75,849.14
2012,1207.76,1130.10,1480.33,1108.18,1066.22,1322.20,1303.51,1258.07,1217.08,1198.83,1264.67,1143.12,1229.29,1113.77,1080.40,1128.72,1366.97,1027.00,1172.23,1322.20,1455.94,1088.17
2013,1509.63,1355.80,1818.49,1318.63,1299.57,1692.20,1672.96,1586.93,1584.72,1489.05,1639.24,1416.66,1591.97,1323.05,1361.20,1453.64,1682.82,1181.00,1480.23,1692.20,1732.29,1372.57
2014,1666.28,1547.10,1979.09,1524.26,1487.32,1780.90,1768.46,1726.50,1649.44,1648.63,1725.59,1591.51,1692.45,1531.78,1550.53,1605.19,1846.65,1439.70,1640.93,1780.90,1946.74,1560.60
2015,1221.17,1161.70,1483.23,1147.18,1090.09,1326.40,1307.19,1262.23,1219.61,1211.96,1268.24,1161.05,1232.32,1153.52,1096.71,1123.68,1374.97,1093.40,1180.52,1326.40,1446.95,1105.41
2016,1447.32,1402.20,1650.02,1378.15,1343.74,1492.90,1494.53,1498.04,1390.39,1457.62,1466.49,1412.78,1454.80,1381.69,1361.75,1390.93,1575.38,1289.10,1436.53,1492.90,1601.19,1371.54
2017,1166.47,1115.00,1431.76,1097.78,1045.51,1281.90,1247.63,1213.20,1157.48,1166.48,1202.05,1112.99,1163.32,1103.19,1042.05,1060.60,1325.25,1034.00,1130.63,1281.90,1407.04,1050.43
2018,1221.71,1159.80,1402.33,1136.45,1109.98,1287.80,1287.50,1269.73,1205.68,1223.64,1266.10,1181.66,1249.49,1139.37,1143.32,1176.23,1331.56,1050.00,1211.31,1287.80,1339.74,1151.64
2019,1501.32,1379.80,1782.95,1341.84,1287.79,1697.40,1667.17,1579.07,1567.02,1494.03,1635.29,1412.13,1582.80,1347.11,1332.44,1437.63,1662.49,1201.30,1466.22,1697.40,1737.14,1343.18
