Variable:,pr
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1970,1355.51,1210.43,1378.97,1388.90,1107.01,1020.20,1281.88,1137.83,1146.54,1551.03,1472.91,1106.17,1295.43,1152.81,1667.41,1672.10,1400.37,1176.34,1476.02,1124.27,1165.63,1481.91,1748.34,1417.91,1181.06,1335.55,1306.68
1971,1032.83,884.42,924.89,934.59,791.31,710.80,975.13,839.32,821.43,1108.90,1046.81,765.85,968.94,799.95,1298.44,1309.10,954.39,827.38,1055.89,802.61,813.85,1225.00,1320.95,1280.50,888.13,951.66,921.49
1972,1090.55,919.36,974.89,984.20,855.83,804.80,999.35,850.99,848.28,1153.40,1112.34,833.95,978.39,849.51,1286.83,1291.10,1000.77,858.65,1083.16,860.18,837.36,1327.16,1352.32,1424.35,942.41,968.68,943.55
1973,1180.95,1050.74,1170.14,1178.18,914.08,843.30,1093.58,921.84,838.39,1320.77,1249.38,874.50,1117.58,875.26,1440.85,1446.00,1190.81,1022.11,1269.49,920.77,1011.48,1324.79,1497.07,1417.65,973.98,1158.78,1131.53
1974,1248.99,1057.87,1275.79,1282.74,946.67,879.00,1187.57,1069.38,1069.91,1396.75,1328.87,953.46,1155.47,1019.97,1548.86,1564.90,1288.05,1062.24,1315.71,963.05,1074.53,1372.96,1553.37,1407.22,1111.49,1191.83,1172.34
1975,1225.94,1114.00,1131.71,1142.35,1019.33,950.30,1147.24,1006.72,986.70,1309.40,1264.28,989.56,1166.08,987.18,1417.89,1416.40,1158.15,1037.63,1262.58,1027.65,989.42,1431.88,1503.61,1456.44,1061.31,1164.08,1131.63
1976,1081.02,845.63,1014.78,1024.20,755.56,692.60,941.84,832.25,855.39,1213.69,1211.00,747.95,914.60,801.19,1264.51,1261.90,1044.24,835.17,1105.73,766.92,849.49,1380.35,1393.44,1340.28,914.77,955.92,937.03
1977,1449.29,1195.61,1173.03,1185.40,1129.42,1051.20,1390.73,1270.91,1292.01,1474.36,1452.72,1170.41,1307.45,1255.12,1758.47,1769.50,1221.54,1076.99,1391.89,1154.97,1023.13,1666.00,1822.93,1883.22,1380.76,1233.39,1190.85
1978,1265.69,1133.60,1170.19,1181.29,1031.99,969.80,1209.47,1066.38,981.72,1354.37,1277.29,1002.97,1208.00,1037.22,1544.91,1553.70,1197.60,1063.36,1302.16,1038.23,1042.04,1433.38,1583.26,1513.51,1109.17,1191.03,1159.39
1979,1426.51,1183.64,1274.37,1281.67,1104.21,1015.50,1317.78,1166.31,1134.46,1568.59,1595.09,1109.95,1282.13,1149.45,1732.87,1732.00,1318.63,1112.57,1463.79,1124.24,1063.08,1722.66,1885.14,1642.39,1212.23,1273.70,1240.06
1980,1232.02,1072.40,1122.03,1131.37,999.84,932.10,1214.68,1106.75,1081.45,1296.68,1222.45,1018.71,1166.21,1075.62,1549.10,1566.90,1145.31,1000.20,1244.57,1018.75,956.19,1378.16,1540.67,1441.84,1137.82,1128.82,1098.33
1981,1482.74,1269.63,1415.14,1427.00,1164.55,1064.60,1403.51,1265.09,1256.27,1647.70,1595.05,1200.29,1371.09,1272.68,1804.60,1811.30,1449.91,1251.22,1567.55,1192.71,1203.78,1648.28,1892.98,1651.24,1327.13,1402.94,1377.84
1982,1300.99,1190.46,1134.86,1144.58,1143.55,1088.20,1288.61,1162.31,1143.50,1361.42,1295.87,1181.51,1249.98,1196.38,1549.34,1554.80,1173.32,1114.81,1325.76,1163.44,1039.19,1405.50,1607.74,1486.78,1209.43,1212.68,1188.35
1983,1214.61,1033.08,1096.94,1103.98,976.12,917.50,1160.69,1087.47,1103.13,1289.94,1278.95,996.82,1110.44,1077.11,1450.84,1458.70,1125.42,979.73,1220.11,991.84,935.94,1365.60,1503.03,1407.34,1146.99,1096.40,1071.81
1984,1216.70,1057.93,1113.41,1123.94,960.23,889.30,1142.90,1014.56,1011.96,1311.09,1256.65,984.70,1133.27,1019.34,1490.25,1500.70,1144.20,1011.21,1243.28,981.28,972.25,1418.95,1522.79,1438.68,1078.18,1126.90,1101.01
1985,1141.52,945.47,1018.87,1026.45,869.56,804.70,1096.09,1011.38,951.99,1216.31,1206.12,890.95,1043.69,964.83,1427.09,1440.10,1047.86,879.64,1138.37,888.75,869.90,1348.99,1454.63,1325.07,1024.95,1010.55,980.23
1986,1305.92,1199.74,1186.05,1195.38,1096.97,1036.30,1281.37,1140.14,1069.24,1376.31,1311.09,1098.16,1269.41,1122.63,1631.18,1645.40,1214.95,1117.70,1342.43,1109.88,1077.64,1442.21,1639.23,1491.99,1162.79,1232.07,1201.98
1987,1347.83,1203.30,1202.97,1213.74,1153.37,1088.90,1311.63,1159.73,1127.27,1419.95,1375.00,1147.05,1283.07,1173.03,1620.00,1627.60,1236.25,1097.17,1369.80,1164.00,1049.08,1551.28,1674.05,1550.18,1208.83,1246.93,1209.84
1988,1355.42,1231.15,1263.82,1276.02,1139.11,1059.90,1311.69,1143.19,1141.79,1472.45,1379.73,1130.69,1311.21,1165.75,1676.57,1685.70,1296.19,1161.25,1420.64,1152.02,1135.22,1508.02,1724.11,1524.41,1205.41,1294.62,1263.60
1989,1032.10,927.25,975.29,985.27,845.42,790.90,953.12,791.54,773.28,1160.89,1125.48,831.84,974.55,812.23,1263.46,1264.40,1005.23,892.30,1098.42,853.47,852.66,1236.44,1345.92,1143.37,829.56,985.07,966.36
1990,1295.70,1154.45,1170.14,1178.74,1049.46,966.30,1292.81,1152.96,1114.43,1351.79,1290.41,1039.34,1261.90,1093.53,1670.18,1692.20,1194.20,1041.41,1319.98,1064.80,996.84,1470.04,1636.66,1488.69,1172.39,1207.63,1163.69
1991,1080.32,947.56,1036.74,1048.09,855.03,773.00,1030.89,910.21,904.10,1201.07,1126.35,850.23,1022.34,882.71,1314.47,1319.00,1062.28,917.37,1162.72,871.00,881.97,1200.85,1371.86,1232.48,944.40,1054.29,1028.66
1992,1276.12,1075.32,1139.39,1147.07,978.82,905.00,1223.48,1105.06,1094.55,1357.41,1346.26,999.57,1180.04,1066.67,1587.31,1600.80,1173.74,994.12,1293.18,999.02,999.86,1484.69,1616.71,1496.55,1145.36,1159.17,1121.04
1993,1297.67,1100.40,1215.45,1225.68,1001.26,893.10,1238.81,1104.20,1143.61,1408.77,1348.91,991.87,1211.52,1071.37,1606.81,1619.10,1243.21,1024.47,1345.24,1020.90,1022.46,1507.93,1640.54,1511.96,1167.49,1213.02,1171.88
1994,1335.50,1153.84,1207.86,1219.26,1034.98,964.20,1270.83,1113.52,1124.72,1431.87,1360.59,1039.18,1252.42,1104.43,1674.85,1689.20,1242.28,1077.18,1373.22,1049.72,1053.16,1558.26,1699.19,1604.18,1190.79,1239.74,1201.86
1995,1396.26,1295.12,1299.72,1310.64,1177.28,1094.50,1393.58,1249.61,1192.38,1468.71,1356.87,1200.80,1379.72,1246.33,1736.48,1754.80,1323.30,1213.37,1463.37,1200.08,1124.55,1483.29,1711.28,1587.02,1298.35,1365.01,1328.59
1996,1247.62,1074.01,1108.06,1114.64,999.95,923.70,1171.30,1023.80,990.70,1330.20,1332.08,976.10,1150.99,995.65,1494.04,1498.70,1140.86,985.86,1261.65,1009.89,913.58,1470.91,1567.88,1521.05,1067.20,1133.99,1098.40
1997,1148.69,999.28,1032.31,1041.44,940.34,864.70,1125.41,1017.65,954.22,1215.92,1162.89,949.63,1081.18,991.02,1397.93,1407.60,1059.70,924.75,1174.34,958.33,873.09,1294.07,1429.44,1346.64,1045.13,1064.37,1032.87
1998,1177.37,1040.08,1129.91,1135.90,953.72,887.50,1109.69,977.91,961.17,1309.04,1281.60,977.89,1108.13,996.55,1435.53,1441.40,1157.45,994.68,1251.16,973.14,977.50,1350.79,1494.34,1272.09,1016.66,1131.72,1105.17
1999,1557.44,1376.31,1436.78,1446.65,1292.05,1201.00,1504.94,1357.04,1285.55,1703.14,1628.15,1295.94,1473.18,1336.80,1888.39,1893.20,1478.52,1284.16,1653.28,1310.80,1217.24,1764.53,1986.66,1729.80,1376.85,1490.29,1448.03
2000,1332.33,1116.55,1257.38,1264.00,1036.73,959.80,1189.08,1032.68,1004.30,1528.38,1531.15,1003.63,1189.82,1036.73,1584.47,1577.40,1299.33,1071.53,1405.62,1043.30,1041.98,1626.19,1761.64,1507.39,1093.34,1226.00,1198.20
