Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1985,602.49,617.20,649.56,641.64,542.00,529.84,768.59,554.91,519.74,615.28,595.25,524.83,642.93,764.33,546.21,552.04,513.96,580.21,635.79,638.62,630.57,625.70,633.09,838.12,542.99,664.70
1986,463.31,430.41,523.59,473.87,435.92,445.37,600.17,492.85,351.08,450.26,410.12,394.87,481.57,575.02,408.75,369.84,383.49,466.79,529.81,530.60,461.55,437.27,513.89,625.34,429.46,537.43
1987,523.63,486.39,552.85,573.81,457.55,561.62,695.31,489.92,417.08,552.76,442.69,550.61,535.70,659.13,516.46,410.29,428.46,468.35,562.37,525.83,566.42,538.64,537.55,739.10,515.49,598.10
1988,621.23,618.89,631.17,673.04,593.35,574.75,780.49,610.47,526.68,622.89,599.14,600.05,625.85,723.10,537.74,562.20,563.22,657.39,656.04,695.90,647.91,611.82,647.35,793.29,581.86,650.04
1989,522.74,518.92,558.76,610.59,452.66,519.71,684.82,561.05,330.90,591.81,441.30,405.65,603.25,625.88,539.32,355.24,394.07,501.50,586.67,547.77,569.52,599.88,514.58,755.55,435.81,664.77
1990,525.19,575.99,642.71,467.65,467.28,445.07,604.63,541.50,370.19,491.92,525.04,421.08,614.76,653.19,476.92,440.76,389.56,556.17,608.28,639.83,510.75,499.75,598.74,667.00,406.52,628.44
1991,522.01,520.56,540.74,669.58,466.14,478.20,727.94,477.94,408.41,584.06,484.06,454.97,554.15,626.26,436.88,446.70,474.03,499.88,523.48,559.78,583.99,597.51,488.63,761.49,480.30,589.97
1992,536.91,511.81,504.69,574.20,491.00,562.92,693.93,528.92,428.14,585.98,478.97,521.77,542.75,696.73,522.13,425.52,401.63,515.76,624.84,535.10,606.30,534.62,618.33,699.98,531.26,597.86
1993,527.20,536.37,600.80,645.99,450.49,522.61,708.43,502.80,333.71,604.37,471.84,325.39,601.42,604.01,549.45,417.49,440.66,502.97,611.07,556.31,589.34,595.88,550.62,696.79,421.37,665.73
1994,489.75,476.00,532.59,525.00,447.56,446.42,676.90,467.35,333.54,539.21,444.44,360.04,534.64,693.47,425.56,351.73,350.54,486.39,606.43,521.00,573.93,484.75,614.92,705.72,423.23,589.51
1995,599.31,615.57,586.99,641.38,595.21,627.46,702.21,649.07,480.98,603.44,585.49,562.67,608.21,636.88,604.73,528.95,543.12,622.11,571.55,648.71,584.45,633.97,557.55,750.10,574.12,605.69
1996,570.49,583.64,580.09,702.06,487.67,494.54,799.38,522.12,423.06,673.25,527.62,489.98,635.03,725.91,444.42,474.22,494.22,552.52,630.10,573.22,670.21,668.04,593.02,811.20,472.61,685.23
