Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1979,1035.56,794.47,1279.55,852.08,479.98,662.00,1999.63,1441.80,1154.57,1194.67,842.36,808.29,851.09,1944.19,953.07,1820.62,969.90,631.07,1686.00,974.22
1980,925.10,761.28,1046.61,790.57,426.09,665.76,1788.89,1359.87,1004.52,987.47,765.53,774.44,811.21,1657.13,919.55,1646.87,827.65,589.09,1371.18,853.90
1981,1029.28,722.90,1218.97,756.99,591.94,624.08,1974.38,1386.51,1113.34,1239.20,797.71,720.28,763.68,1931.48,932.21,1760.97,897.27,740.19,1661.33,895.17
1982,1082.82,791.38,1343.47,818.82,617.75,584.89,2093.22,1236.29,1138.46,1571.21,854.47,675.15,850.82,2081.17,851.46,1670.24,1004.95,838.88,1794.72,1050.83
1983,1289.73,665.91,1337.76,782.28,618.90,616.66,2462.05,2193.59,1580.20,1759.79,713.02,875.09,709.88,2203.21,1314.88,2430.37,970.03,929.50,1798.70,888.05
1984,965.33,865.29,1149.05,878.82,486.42,718.17,1629.38,1216.21,1105.94,1143.60,864.70,807.58,925.71,1654.00,911.79,1512.55,908.49,589.91,1522.70,984.54
1985,1097.80,905.18,1097.74,889.40,563.05,788.62,1738.36,1598.59,1333.96,1409.17,900.00,897.16,958.71,1618.07,1152.32,1772.12,901.83,823.78,1400.95,973.74
1986,1028.35,768.79,1300.49,817.36,481.72,660.97,2134.76,1414.89,1059.97,1133.35,803.36,779.21,827.45,2083.90,935.93,1853.93,961.13,620.13,1784.53,961.31
1987,1012.71,926.20,1100.32,870.19,494.96,799.07,1560.69,1409.53,1270.61,1201.73,939.79,853.96,974.49,1518.11,1111.24,1557.79,886.55,660.89,1416.19,1038.07
1988,1159.74,1011.23,1406.10,1034.93,597.44,788.07,2007.16,1677.28,1218.50,1289.49,1015.99,970.62,1090.25,2018.73,1122.30,1922.07,1105.78,765.37,1833.39,1196.61
1989,1244.86,721.27,1220.96,793.02,685.56,637.85,2419.75,1812.21,1421.01,1846.67,724.64,835.02,781.56,2097.57,1112.11,2255.13,914.90,933.40,1682.51,854.82
1990,1231.52,781.69,1514.12,868.17,495.77,675.86,2632.51,1864.49,1332.81,1518.53,843.38,867.11,834.12,2473.15,1112.90,2392.35,1073.91,757.90,2078.09,986.49
1991,1043.70,677.03,1089.54,681.36,570.54,571.67,1960.80,1489.79,1171.84,1473.66,734.58,706.46,720.16,1814.39,976.37,1807.25,789.57,828.30,1510.74,799.37
1992,1233.26,770.59,1317.95,854.18,666.96,659.53,2521.48,1771.16,1351.62,1610.19,792.26,847.38,836.94,2254.73,1119.20,2275.50,979.81,885.83,1814.22,926.64
1993,1023.28,792.20,1100.75,765.23,560.37,682.06,1663.70,1353.12,1214.88,1432.12,807.33,767.25,848.89,1623.67,993.73,1556.56,844.62,789.35,1452.46,932.18
1994,1030.44,756.34,1265.70,826.49,508.75,608.45,2057.78,1519.69,1084.34,1135.34,815.27,784.53,824.70,2007.96,946.33,1891.71,947.33,643.71,1735.39,961.14
1995,1120.65,761.02,1167.94,825.74,654.55,653.66,2033.33,1569.78,1223.77,1529.24,786.85,805.01,816.56,1880.15,1027.88,1902.80,904.55,857.66,1596.13,891.08
1996,923.19,683.12,1012.12,713.62,545.34,578.30,1618.70,1191.90,1019.36,1282.18,699.23,675.76,733.72,1517.03,831.15,1451.55,792.48,692.01,1319.07,804.89
1997,1042.65,722.55,1077.22,754.46,559.88,625.61,1814.39,1542.75,1245.38,1414.18,742.92,753.22,771.72,1674.64,1042.07,1751.73,841.36,786.62,1426.28,846.64
1998,1166.40,862.74,1315.65,890.02,626.84,717.91,2060.33,1536.78,1339.32,1595.98,909.78,836.65,929.10,1995.30,1076.71,1879.00,1011.45,838.09,1749.60,1064.55
1999,1237.72,976.27,1505.25,1016.95,633.75,739.48,2416.47,1709.27,1257.80,1462.70,1024.39,918.96,1055.68,2334.08,1082.29,2165.73,1141.98,878.76,2026.25,1192.53
2000,1272.48,1132.63,1515.95,1087.44,609.29,864.21,2339.69,1593.53,1399.28,1625.94,1169.86,962.36,1217.78,2251.43,1160.83,2006.25,1183.75,886.03,1992.91,1310.07
2001,1129.82,826.03,1218.05,853.92,622.49,720.01,1901.23,1514.58,1367.91,1522.82,845.60,835.73,888.70,1825.90,1126.10,1773.16,943.41,849.93,1603.25,978.69
2002,1008.63,818.64,1240.30,828.00,547.69,629.82,1832.36,1327.28,1010.27,1297.68,863.67,754.52,873.23,1810.09,849.19,1658.42,944.42,727.42,1642.87,983.54
2003,1058.17,760.32,1171.96,825.47,571.06,622.65,1980.08,1488.15,1102.58,1411.77,765.78,779.89,823.80,1835.08,911.85,1843.44,911.88,815.97,1538.04,900.29
2004,1106.89,837.13,1264.54,866.85,579.76,647.09,2125.97,1568.79,1142.53,1395.55,875.60,808.71,904.83,2005.95,970.87,1954.38,961.05,823.29,1704.13,1000.10
2005,1142.73,740.72,1190.18,829.55,669.16,622.61,2132.54,1607.37,1224.31,1588.02,742.52,798.99,811.16,1943.30,981.67,1997.13,912.19,939.24,1605.93,888.15
2006,1171.64,961.79,1435.00,959.31,562.80,735.59,2238.74,1606.21,1226.49,1436.05,1017.68,881.14,1035.43,2180.98,1055.07,2012.19,1087.21,764.85,1903.37,1174.72
2007,1192.74,866.61,1374.47,943.98,648.34,682.69,2290.52,1659.32,1245.95,1503.99,895.54,871.65,946.92,2176.61,1034.64,2091.07,1051.60,867.40,1846.06,1042.19
2008,1153.18,956.88,1382.20,966.07,575.70,743.28,2310.99,1556.74,1153.73,1335.87,1002.46,888.50,1020.93,2147.35,1014.73,2037.63,1068.79,756.32,1823.75,1123.84
2009,1085.00,898.94,1262.17,906.76,513.62,753.53,2021.44,1475.64,1214.63,1302.39,924.11,859.62,948.44,1897.63,1051.96,1817.61,988.54,693.77,1642.56,1028.24
2010,961.34,776.26,1021.62,731.53,634.85,655.53,1487.22,1284.39,1113.51,1244.48,835.55,725.20,799.75,1439.28,934.07,1431.44,798.28,790.35,1298.95,865.69
2011,1214.69,926.33,1399.14,975.97,636.60,741.78,2270.98,1636.99,1293.94,1578.94,974.78,906.09,990.75,2124.76,1082.67,2053.10,1085.67,875.31,1818.19,1090.76
